Time,Displacement
1.35E-02,-1.33E-05
2.70E-02,-2.68E-05
4.05E-02,-4.58E-05
5.40E-02,-6.83E-05
6.75E-02,-8.69E-05
8.10E-02,-1.04E-04
9.45E-02,-1.18E-04
0.108,-1.30E-04
0.1215,-1.38E-04
0.135,-1.42E-04
0.1485,-1.42E-04
0.162,-1.41E-04
0.1755,-1.40E-04
0.189,-1.38E-04
0.2025,-1.37E-04
0.216,-1.37E-04
0.2295,-1.36E-04
0.243,-1.35E-04
0.2565,-1.35E-04
0.27,-1.35E-04
0.2835,-1.34E-04
0.297,-1.32E-04
0.3105,-1.28E-04
0.324,-1.21E-04
0.3375,-1.13E-04
0.351,-1.03E-04
0.3645,-9.36E-05
0.378,-8.51E-05
0.3915,-7.82E-05
0.405,-7.20E-05
0.4185,-6.64E-05
0.432,-5.94E-05
0.4455,-5.06E-05
0.459,-4.05E-05
0.4725,-3.00E-05
0.486,-1.97E-05
0.4995,-1.07E-05
0.513,-3.30E-06
0.5265,1.94E-06
0.54,5.00E-06
0.5535,6.56E-06
0.567,7.19E-06
0.5805,6.85E-06
0.594,5.69E-06
0.6075,4.16E-06
0.621,2.62E-06
0.6345,1.58E-06
0.648,1.52E-06
0.6615,2.62E-06
0.675,4.60E-06
0.6885,6.95E-06
0.702,9.46E-06
0.7155,1.17E-05
0.729,1.37E-05
0.7425,1.61E-05
0.756,1.80E-05
0.7695,1.73E-05
0.783,1.27E-05
0.7965,4.53E-06
0.81,-1.92E-07
0.8235,-1.35E-05
0.837,-2.70E-05
0.8505,-4.60E-05
0.864,-6.85E-05
0.8775,-8.71E-05
0.891,-1.04E-04
0.9045,-1.18E-04
0.918,-1.30E-04
0.9315,-1.38E-04
0.945,-1.42E-04
0.9585,-1.42E-04
0.972,-1.41E-04
0.9855,-1.40E-04
0.999,-1.38E-04
1.0125,-1.37E-04
1.026,-1.37E-04
1.0395,-1.36E-04
1.053,-1.35E-04
1.0665,-1.35E-04
1.08,-1.35E-04
1.0935,-1.34E-04
1.107,-1.32E-04
1.1205,-1.28E-04
1.134,-1.21E-04
1.1475,-1.13E-04
1.161,-1.03E-04
1.1745,-9.36E-05
1.188,-8.51E-05
1.2015,-7.82E-05
1.215,-7.20E-05
1.2285,-6.64E-05
1.242,-5.94E-05
1.2555,-5.06E-05
1.269,-4.05E-05
1.2825,-3.00E-05
1.296,-1.97E-05
1.3095,-1.07E-05
1.323,-3.30E-06
1.3365,1.94E-06
1.35,5.00E-06
1.3635,6.56E-06
1.377,7.19E-06
1.3905,6.85E-06
1.404,5.69E-06
1.4175,4.16E-06
1.431,2.62E-06
1.4445,1.58E-06
1.458,1.52E-06
1.4715,2.62E-06
1.485,4.60E-06
1.4985,6.95E-06
1.512,9.46E-06
1.5255,1.17E-05
1.539,1.37E-05
1.5525,1.61E-05
1.566,1.80E-05
1.5795,1.73E-05
1.593,1.27E-05
1.6065,4.53E-06
1.62,-1.93E-07
1.6335,-1.35E-05
1.647,-2.70E-05
1.6605,-4.60E-05
1.674,-6.85E-05
1.6875,-8.71E-05
1.701,-1.04E-04
1.7145,-1.18E-04
1.728,-1.30E-04
1.7415,-1.38E-04
1.755,-1.42E-04
1.7685,-1.42E-04
1.782,-1.41E-04
1.7955,-1.40E-04
1.809,-1.38E-04
1.8225,-1.37E-04
1.836,-1.37E-04
1.8495,-1.36E-04
1.863,-1.35E-04
1.8765,-1.35E-04
1.89,-1.35E-04
1.9035,-1.34E-04
1.917,-1.32E-04
1.9305,-1.28E-04
1.944,-1.21E-04
1.9575,-1.13E-04
1.971,-1.03E-04
1.9845,-9.36E-05
1.998,-8.51E-05
2.0115,-7.82E-05
2.025,-7.20E-05
2.0385,-6.64E-05
2.052,-5.94E-05
2.0655,-5.06E-05
2.079,-4.05E-05
2.0925,-3.00E-05
2.106,-1.97E-05
2.1195,-1.07E-05
2.133,-3.30E-06
2.1465,1.94E-06
2.16,5.00E-06
2.1735,6.56E-06
2.187,7.19E-06
2.2005,6.85E-06
2.214,5.69E-06
2.2275,4.16E-06
2.241,2.62E-06
2.2545,1.58E-06
2.268,1.52E-06
2.2815,2.62E-06
2.295,4.60E-06
2.3085,6.95E-06
2.322,9.46E-06
2.3355,1.17E-05
2.349,1.37E-05
2.3625,1.61E-05
2.376,1.80E-05
2.3895,1.73E-05
2.403,1.27E-05
2.4165,4.53E-06
2.43,-1.93E-07
2.4435,-1.35E-05
2.457,-2.70E-05
2.4705,-4.60E-05
2.484,-6.85E-05
2.4975,-8.71E-05
2.511,-1.04E-04
2.5245,-1.18E-04
2.538,-1.30E-04
2.5515,-1.38E-04
2.565,-1.42E-04
2.5785,-1.42E-04
2.592,-1.41E-04
2.6055,-1.40E-04
2.619,-1.38E-04
2.6325,-1.37E-04
2.646,-1.37E-04
2.6595,-1.36E-04
2.673,-1.35E-04
2.6865,-1.35E-04
2.7,-1.35E-04
2.7135,-1.34E-04
2.727,-1.32E-04
2.7405,-1.28E-04
2.754,-1.21E-04
2.7675,-1.13E-04
2.781,-1.03E-04
2.7945,-9.36E-05
2.808,-8.51E-05
2.8215,-7.82E-05
2.835,-7.20E-05
2.8485,-6.64E-05
2.862,-5.94E-05
2.8755,-5.06E-05
2.889,-4.05E-05
2.9025,-3.00E-05
2.916,-1.97E-05
2.9295,-1.07E-05
2.943,-3.30E-06
2.9565,1.94E-06
2.97,5.00E-06
2.9835,6.56E-06
2.997,7.19E-06
3.0105,6.85E-06
3.024,5.69E-06
3.0375,4.16E-06
3.051,2.62E-06
3.0645,1.58E-06
3.078,1.52E-06
3.0915,2.62E-06
3.105,4.60E-06
3.1185,6.95E-06
3.132,9.46E-06
3.1455,1.17E-05
3.159,1.37E-05
3.1725,1.61E-05
3.186,1.80E-05
3.1995,1.73E-05
3.213,1.27E-05
3.2265,4.53E-06
3.24,-1.93E-07
3.2535,-1.35E-05
3.267,-2.70E-05
3.2805,-4.60E-05
3.294,-6.85E-05
3.3075,-8.71E-05
3.321,-1.04E-04
3.3345,-1.18E-04
3.348,-1.30E-04
3.3615,-1.38E-04
3.375,-1.42E-04
3.3885,-1.42E-04
3.402,-1.41E-04
3.4155,-1.40E-04
3.429,-1.38E-04
3.4425,-1.37E-04
3.456,-1.37E-04
3.4695,-1.36E-04
3.483,-1.35E-04
3.4965,-1.35E-04
3.51,-1.35E-04
3.5235,-1.34E-04
3.537,-1.32E-04
3.5505,-1.28E-04
3.564,-1.21E-04
3.5775,-1.13E-04
3.591,-1.03E-04
3.6045,-9.36E-05
3.618,-8.51E-05
3.6315,-7.82E-05
3.645,-7.20E-05
3.6585,-6.64E-05
3.672,-5.94E-05
3.6855,-5.06E-05
3.699,-4.05E-05
3.7125,-3.00E-05
3.726,-1.97E-05
3.7395,-1.07E-05
3.753,-3.30E-06
3.7665,1.94E-06
3.78,5.00E-06
3.7935,6.56E-06
3.807,7.19E-06
3.8205,6.85E-06
3.834,5.69E-06
3.8475,4.16E-06
3.861,2.62E-06
3.8745,1.58E-06
3.888,1.52E-06
3.9015,2.62E-06
3.915,4.60E-06
3.9285,6.95E-06
3.942,9.46E-06
3.9555,1.17E-05
3.969,1.37E-05
3.9825,1.61E-05
3.996,1.80E-05
4.0095,1.73E-05
4.023,1.27E-05
4.0365,4.53E-06
