Time,Volume
0.02691,151300
0.05382,145250
0.08073,133700
0.10764,122612
0.13455,106500
0.16146,99487.5
0.18837,86725
0.21528,79150
0.24219,66412.5
0.2691,62787.5
0.29601,59162.5
0.32292,59037.5
0.34983,59112.5
0.37674,64112.5
0.40365,69850
0.43056,81000
0.45747,97575
0.48438,114337
0.51129,133837
0.5382,142725
0.56511,143637
0.59202,142862
0.61893,141987
0.64584,140737
0.67275,141450
0.69966,142475
0.72657,149075
0.75348,154787
0.78039,154300
0.8073,154300
0.83421,151300
0.86112,145250
0.88803,133700
0.91494,122612
0.94185,106500
0.96876,99487.5
0.99567,86725
1.02258,79150
1.04949,66412.5
1.0764,62787.5
1.10331,59162.5
1.13022,59037.5
1.15713,59112.5
1.18404,64112.5
1.21095,69850
1.23786,81000
1.26477,97575
1.29168,114337
1.31859,133837
1.3455,142725
1.37241,143637
1.39932,142862
1.42623,141987
1.45314,140737
1.48005,141450
1.50696,142475
1.53387,149075
1.56078,154787
1.58769,154300
1.6146,154300
1.64151,151300
1.66842,145250
1.69533,133700
1.72224,122612
1.74915,106500
1.77606,99487.5
1.80297,86725
1.82988,79150
1.85679,66412.5
1.8837,62787.5
1.91061,59162.5
1.93752,59037.5
1.96443,59112.5
1.99134,64112.5
2.01825,69850
2.04516,81000
2.07207,97575
2.09898,114337
2.12589,133837
2.1528,142725
2.17971,143637
2.20662,142862
2.23353,141987
2.26044,140737
2.28735,141450
2.31426,142475
2.34117,149075
2.36808,154787
2.39499,154300
2.4219,154300
2.44881,151300
2.47572,145250
2.50263,133700
2.52954,122612
2.55645,106500
2.58336,99487.5
2.61027,86725
2.63718,79150
2.66409,66412.5
2.691,62787.5
2.71791,59162.5
2.74482,59037.5
2.77173,59112.5
2.79864,64112.5
2.82555,69850
2.85246,81000
2.87937,97575
2.90628,114337
2.93319,133837
2.9601,142725
2.98701,143637
3.01392,142862
3.04083,141987
3.06774,140737
3.09465,141450
3.12156,142475
3.14847,149075
3.17538,154787
3.20229,154300
3.2292,154300
3.25611,151300
3.28302,145250
3.30993,133700
3.33684,122612
3.36375,106500
3.39066,99487.5
3.41757,86725
3.44448,79150
3.47139,66412.5
3.4983,62787.5
3.52521,59162.5
3.55212,59037.5
3.57903,59112.5
3.60594,64112.5
3.63285,69850
3.65976,81000
3.68667,97575
3.71358,114337
3.74049,133837
3.7674,142725
3.79431,143637
3.82122,142862
3.84813,141987
3.87504,140737
3.90195,141450
3.92886,142475
3.95577,149075
3.98268,154787
4.00959,154300
4.0365,154300
